Loci,Replicate,Final_fitness,Generation
1,102,0.8096961528976764,50000
25,102,21.166727736309735,50000
50,102,29.48984941790178,50000
75,102,40.19904538506805,50000
100,102,54.680014866118526,50000
1,103,0.8096961528976764,50000
25,103,15.632393185380227,50000
50,103,14.979446389687308,50000
75,103,27.57492931434447,50000
100,103,29.844903047870467,50000
1,104,0.8096961528976764,50000
25,104,47.116523665867255,50000
50,104,37.42343488922219,50000
75,104,49.90145215708332,50000
100,104,30.242658004014096,50000
1,105,0.8096961528976764,50000
25,105,19.106258604313794,50000
50,105,13.701148152322107,50000
75,105,24.55216619019055,50000
100,105,17.38932255455581,50000
1,106,0.8096961528976764,50000
25,106,16.219601268259492,50000
50,106,45.846446772738815,50000
75,106,44.0477972116796,50000
100,106,57.94401632702137,50000
1,107,0.8096961528976764,50000
25,107,14.993239182401604,50000
50,107,15.968252163424228,50000
75,107,43.55956983651724,50000
100,107,19.597614427384073,50000
1,108,0.8096961528976764,50000
25,108,9.887611757371745,50000
50,108,34.51189973326033,50000
75,108,23.298407215999603,50000
100,108,32.2859532069102,50000
1,109,0.8096961528976764,50000
25,109,14.571468364389839,50000
50,109,20.988054380712803,50000
75,109,16.27496899201722,50000
100,109,26.44643889350484,50000
1,110,0.8096961528976764,50000
25,110,26.319909296247186,50000
50,110,14.461419032990797,50000
75,110,23.91927200688188,50000
100,110,29.21872233213739,50000
1,111,0.8096961528976764,50000
25,111,57.89641949848852,50000
50,111,14.663175956648981,50000
75,111,38.30093785722371,50000
100,111,28.07522727755705,50000
1,112,0.8096961528976764,50000
25,112,11.204320564018305,50000
50,112,24.348465294636217,50000
75,112,14.584358830610295,50000
100,112,36.049280066880314,50000
1,113,0.8096961528976764,50000
25,113,10.49026403410462,50000
50,113,15.976738524501025,50000
75,113,25.788023068146945,50000
100,113,26.79717636299113,50000
1,114,0.8096961528976764,50000
25,114,23.200664807766536,50000
50,114,18.917544816679126,50000
75,114,45.43820206884006,50000
100,114,21.46685871330471,50000
1,115,0.8096961528976764,50000
25,115,13.008579447104983,50000
50,115,24.952324765404434,50000
75,115,29.147507717762082,50000
100,115,28.34486553597649,50000
1,116,0.8096961528976764,50000
25,116,17.19741762532775,50000
50,116,13.735417642998295,50000
75,116,19.947478802327232,50000
100,116,42.235039613969796,50000
1,117,0.8096961528976764,50000
25,117,17.973824336878163,50000
50,117,15.295811009942792,50000
75,117,50.639502519923916,50000
100,117,22.601463197411537,50000
1,118,0.8096961528976764,50000
25,118,8.250073017367395,50000
50,118,19.09532947238153,50000
75,118,26.050954016002716,50000
100,118,38.94614697179604,50000
1,119,0.8096961528976764,50000
25,119,18.311067484858615,50000
50,119,18.27494856323713,50000
75,119,27.596226150343536,50000
100,119,48.68723342850749,50000
1,120,0.8096961528976764,50000
25,120,17.280200721997005,50000
50,120,15.399144247138196,50000
75,120,50.977872329305995,50000
100,120,43.05883790105058,50000
1,121,0.8096961528976764,50000
25,121,13.390716798292893,50000
50,121,42.111990880101274,50000
75,121,18.766421672187466,50000
100,121,30.543183929818067,50000
1,122,0.8096961528976764,50000
25,122,11.321689106684628,50000
50,122,15.026345023571027,50000
75,122,23.041053270969243,50000
100,122,23.971724948390584,50000
1,123,0.8096961528976764,50000
25,123,14.09795233736056,50000
50,123,21.28609639056528,50000
75,123,12.87514429617314,50000
100,123,41.1970609247763,50000
1,124,0.8096961528976764,50000
25,124,27.718109899088418,50000
50,124,21.895877742166487,50000
75,124,23.820480922227357,50000
100,124,51.01014489308267,50000
1,125,0.8096961528976764,50000
25,125,18.79298891192235,50000
50,125,17.36889829140486,50000
75,125,20.471474161695514,50000
100,125,33.917716931870125,50000
1,126,0.8096961528976764,50000
25,126,18.957627357134264,50000
50,126,20.249815076011682,50000
75,126,18.90160817023955,50000
100,126,56.11840275042941,50000
1,127,0.8096961528976764,50000
25,127,20.196201123227038,50000
50,127,36.41387276436775,50000
75,127,31.450829016454104,50000
100,127,26.834012028405862,50000
1,128,0.8096961528976764,50000
25,128,19.30398664823316,50000
50,128,25.293401923529267,50000
75,128,30.387685185716183,50000
100,128,36.73994681903642,50000
1,129,0.8096961528976764,50000
25,129,8.162234338622705,50000
50,129,21.42789463885793,50000
75,129,31.463269827226544,50000
100,129,24.338594514849973,50000
1,130,0.8096961528976764,50000
25,130,9.176110129312988,50000
50,130,13.586345994101993,50000
75,130,41.10963389865699,50000
100,130,42.94868086869721,50000
1,131,0.8096961528976764,50000
25,131,19.947032901441887,50000
50,131,22.516308862823657,50000
75,131,23.99499391487714,50000
100,131,43.28908760836821,50000
1,132,0.8096961528976764,50000
25,132,18.71119939715202,50000
50,132,26.180363806696644,50000
75,132,30.831709181007504,50000
100,132,29.11145065240289,50000
1,133,0.8096961528976764,50000
25,133,16.13010507705061,50000
50,133,15.752671161912245,50000
75,133,29.37662874215837,50000
100,133,31.819502753735495,50000
1,134,0.8096961528976764,50000
25,134,14.617421332074873,50000
50,134,18.21692235301027,50000
75,134,21.04842149643236,50000
100,134,19.989019571274202,50000
1,135,0.8096961528976764,50000
25,135,15.894316197986893,50000
50,135,30.55274167541192,50000
75,135,56.45874205441726,50000
100,135,32.134435498064676,50000
1,136,0.8096961528976764,50000
25,136,7.1887773653772955,50000
50,136,15.869291682750319,50000
75,136,35.84213111553276,50000
100,136,45.15920278141651,50000
1,137,0.8096961528976764,50000
25,137,14.32916139588373,50000
50,137,22.054266966037385,50000
75,137,30.57886398155928,50000
100,137,59.056166572038144,50000
1,138,0.8096961528976764,50000
25,138,11.388988821538222,50000
50,138,20.084241713050524,50000
75,138,29.7454694425638,50000
100,138,28.505430085536542,50000
1,139,0.8096961528976764,50000
25,139,17.382950095794122,50000
50,139,31.295891975886654,50000
75,139,19.145144084051708,50000
100,139,63.840518611271506,50000
1,140,0.8096961528976764,50000
25,140,11.384040315152872,50000
50,140,13.63143895372004,50000
75,140,32.75814685834513,50000
100,140,51.61556374371989,50000
1,141,0.8096961528976764,50000
25,141,60.027751407973604,50000
50,141,15.587773382479135,50000
75,141,28.95977963940174,50000
100,141,27.681644346721676,50000
1,142,0.8096961528976764,50000
25,142,13.780437927236965,50000
50,142,45.692208645865435,50000
75,142,22.884413234694822,50000
100,142,27.92566681464417,50000
1,143,0.8096961528976764,50000
25,143,36.064785586918,50000
50,143,18.129562309257818,50000
75,143,26.45355952687535,50000
100,143,23.081122497500633,50000
1,144,0.8096961528976764,50000
25,144,16.66005648727347,50000
50,144,79.42235497176885,50000
75,144,22.739544692797836,50000
100,144,38.08606457353861,50000
1,145,0.8096961528976764,50000
25,145,11.029430083656807,50000
50,145,23.257479053821925,50000
75,145,15.429717279622892,50000
100,145,31.875617072800367,50000
1,146,0.8096961528976764,50000
25,146,13.204415136797886,50000
50,146,19.104018022353856,50000
75,146,20.905797322925512,50000
100,146,17.909777270504637,50000
1,147,0.8096961528976764,50000
25,147,36.136401543140565,50000
50,147,40.59047249753082,50000
75,147,24.74609658812858,50000
100,147,30.92724335027406,50000
1,148,0.8096961528976764,50000
25,148,10.692907792961492,50000
50,148,17.346213882914057,50000
75,148,36.83500593623298,50000
100,148,39.354951126747345,50000
1,149,0.8096961528976764,50000
25,149,15.522403580243877,50000
50,149,25.309843888017237,50000
75,149,32.459387760243935,50000
100,149,39.890556789486524,50000
1,150,0.8096961528976764,50000
25,150,17.878216468412546,50000
50,150,27.21233416069607,50000
75,150,15.49634243020717,50000
100,150,37.62603305635043,50000
1,151,0.8096961528976764,50000
25,151,10.588007196963751,50000
50,151,15.980977016934117,50000
75,151,29.913792904306035,50000
100,151,20.436628809986697,50000
1,152,0.8096961528976764,50000
25,152,21.675799107811866,50000
50,152,14.9596647072944,50000
75,152,24.872143371119815,50000
100,152,54.28780373244802,50000
1,153,0.8096961528976764,50000
25,153,12.48055754013442,50000
50,153,15.686509778822728,50000
75,153,26.387533423667783,50000
100,153,33.507617426256395,50000
1,154,0.8096961528976764,50000
25,154,9.579866821170162,50000
50,154,15.850723317165482,50000
75,154,56.42258727341078,50000
100,154,43.99799959060257,50000
1,155,0.8096961528976764,50000
25,155,17.18334392120307,50000
50,155,22.543445681833578,50000
75,155,62.96521043639982,50000
100,155,23.503268416974056,50000
1,156,0.8096961528976764,50000
25,156,9.482353769867776,50000
50,156,21.23593267403646,50000
75,156,34.1142435566043,50000
100,156,44.34317400304886,50000
1,157,0.8096961528976764,50000
25,157,11.741181940868094,50000
50,157,16.982460320568972,50000
75,157,38.81929717553096,50000
100,157,27.074783172820347,50000
1,158,0.8096961528976764,50000
25,158,13.874426231160658,50000
50,158,15.67266228445878,50000
75,158,26.282093872549414,50000
100,158,22.879053981174213,50000
1,159,0.8096961528976764,50000
25,159,15.10990037459814,50000
50,159,12.90920482502828,50000
75,159,17.141197944036698,50000
100,159,97.66507179055274,50000
1,160,0.8096961528976764,50000
25,160,18.311067484858615,50000
50,160,28.09707428525379,50000
75,160,24.8160452562989,50000
100,160,42.38639470298982,50000
