Step,Fitness,CurrentGenomeSize,FinalGenomeSize,StartingLoci,Replicate
7252,1.2061349039239941,6.0,6.0,5,1871
7254,1.1904437561608128,5.0,6.0,5,1871
7259,1.2061349039239941,6.0,6.0,5,1871
0,1.138486523504591,5.0,6.003,5,1872
418,1.1690835215754882,6.0,6.003,5,1872
419,1.138486523504591,5.0,6.003,5,1872
420,1.1690835215754882,6.0,6.003,5,1872
435,1.138486523504591,5.0,6.003,5,1872
440,1.1690835215754882,6.0,6.003,5,1872
570,1.2487947116749805,5.0,6.003,5,1872
10458,1.3304088845899376,6.0,6.003,5,1872
10588,1.3688870125260093,6.0,6.003,5,1872
11779,1.4099296820768341,5.0,6.003,5,1872
11870,1.464704216063511,5.0,6.003,5,1872
11876,1.5175084996092616,5.0,6.003,5,1872
11921,1.7066173474893318,6.0,6.003,5,1872
0,1.0664997022529092,5.0,8.0,5,1873
87,1.1871762543782858,6.0,8.0,5,1873
2012,1.1936818794644213,7.0,8.0,5,1873
2013,1.1871762543782858,6.0,8.0,5,1873
2015,1.1936818794644213,7.0,8.0,5,1873
2016,1.1871762543782858,6.0,8.0,5,1873
2024,1.1936818794644213,7.0,8.0,5,1873
2060,1.1871762543782858,6.0,8.0,5,1873
2061,1.1936818794644213,7.0,8.0,5,1873
2064,1.1871762543782858,6.0,8.0,5,1873
2072,1.1936818794644213,7.0,8.0,5,1873
2073,1.1871762543782858,6.0,8.0,5,1873
2081,1.1936818794644213,7.0,8.0,5,1873
2082,1.1871762543782858,6.0,8.0,5,1873
2118,1.1936818794644213,7.0,8.0,5,1873
8991,1.2481185516806368,8.0,8.0,5,1873
0,1.0584068852488495,5.0,6.001,5,1874
126,1.2554031652694502,5.0,6.001,5,1874
198,1.30521919097493,5.0,6.001,5,1874
202,1.2554031652694502,5.0,6.001,5,1874
203,1.30521919097493,5.0,6.001,5,1874
207,1.2554031652694502,5.0,6.001,5,1874
208,1.30521919097493,5.0,6.001,5,1874
6964,1.5281766935653198,6.0,6.001,5,1874
0,1.1027126136822927,5.0,6.001,5,1875
163,1.228772037020153,6.0,6.001,5,1875
0,1.1911798622514347,5.0,8.0,5,1876
72,1.3244811794125264,5.0,8.0,5,1876
2385,1.357587897032897,6.0,8.0,5,1876
